internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb
PUMPITUPRISE,PUMP IT UP RISE,/game/pump-it-up-rise/,ENFJ3mlFJFbp27hTe%2BGdoI3qJqvZsfV8jqlUQipanlw%3D,1,305727,29.69,44.99,1,34.007557,0,Very Positive,80,671,2756930,1774742400,1773958093,10.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2756930/eac3f811048b1e7a39dbc417f5972f185b6a7ff3/capsule_231x87.jpg?t=1774846695
SUPERMEATBOY,Super Meat Boy,/game/super-meat-boy/,Fs%2BQgmFZf9VVUIOJkAyGLakgSUq%2BFTHMuSGkS6qrs34%3D,1,136,1.19,14.99,1,92.061374,87,Very Positive,94,13187,40800,1291075200,1774991145,10.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/40800/capsule_231x87.jpg?t=1700669950
TOMBASPECIALEDITION,Tomba! Special Edition,/game/tomba-special-edition/,gm5WaW8%2BnPISr4SZJv0bdyovWaoCieL%2B1LS9ZtvhVQw%3D,1,289822,4.99,19.99,1,75.037519,80,Very Positive,88,643,2851150,1754006400,1774896111,9.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2851150/capsule_231x87.jpg?t=1766428099
GOETIA,Goetia,/game/goetia/,pwBfc7ANBMDSvhpNi3bkvCpBuG2negkJLfD3RwIo9G4%3D,1,151703,1.49,14.99,1,90.060040,79,Mostly Positive,76,578,421740,1460592000,1774929084,9.4,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/421740/capsule_231x87.jpg?t=1726574540
THETEXTORCISTTHESTORYOFRAYBIBBIA,The Textorcist: The Story of Ray Bibbia,/game/the-textorcist-the-story-of-ray-bibbia/,yHwHEUOSnAYu2oHH4egqsPEsay39S2LKabnrOT2v2JM%3D,1,198143,1.49,14.99,1,90.060040,78,Very Positive,85,1131,940680,1550102400,1774992380,9.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/940680/capsule_231x87.jpg?t=1754643092
OLDWORLD,Old World,/game/old-world/,VZNqIkRYQZOr5OfgRmFAOC1qW%2BixTY7yt%2B5v0iHCPJI%3D,1,246569,3.99,39.99,1,90.022506,80,Very Positive,84,3551,597180,1625097600,1774895336,9.2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/597180/283817ee3881aaf6af93ee7c08b0bc5412e3b4fa/capsule_231x87.jpg?t=1774912437
CHARIOT,Chariot,/game/chariot/,SJtwMqHmcdHzhryD5NoKvH6Nnk%2BblWEhlew2F42uPHk%3D,1,137348,1.49,14.99,1,90.060040,76,Very Positive,82,303,319450,1415750400,1774901532,9.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/319450/capsule_231x87.jpg?t=1616687689
HELLPIE,Hell Pie,/game/hell-pie/,EWCWRdJCZ%2BEF8cUCE32v1VCqy7BC7CJU0ujmEZJDizQ%3D,1,249066,3.49,24.99,1,86.034414,78,Very Positive,91,1041,889910,1658361600,1774992228,8.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/889910/capsule_231x87.jpg?t=1764867573
ELECTRICIANSIMULATOR,Electrician Simulator,/game/electrician-simulator/,TGiB4UBA9Z5j9qOCUb4do7isaAvaHmyEShJJppDoXBg%3D,1,251198,0.89,17.99,1,95.052807,60,Mostly Positive,73,1077,1080020,1663718400,1774895980,8.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1080020/capsule_231x87.jpg?t=1773420811
GIANASISTERSTWISTEDDREAMSRISEOFTHEOWLVERLORD,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,/game/giana-sisters-twisted-dreams-rise-of-the-owlver/,Zr5jfr2XxA95Of5kCEFJ8dCr2YjdWA2cR74OWw1OJwg%3D,1,101631,2.99,14.99,1,80.053369,84,Very Positive,83,336,246960,1380153600,1774901334,8.7,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/246960/capsule_231x87.jpg?t=1773134237
