title,salePrice,normalPrice,savings,metacriticScore,steamRatingText,dealRating,releaseDate
Xenonauts 2,25.99,39.99,35.0,83,Very Positive,10.0,2026-04-02
ALL WILL FALL,24.62,48.38,49.1,0,Mostly Positive,10.0,2026-04-03
Divinity: Original Sin - Enhanced Edition,5.99,39.99,85.0,94,Very Positive,10.0,2015-10-27
Hitman 2: Silent Assassin,0.89,8.99,90.1,87,Mostly Positive,9.7,2002-10-01
Metro 2033 Redux,1.99,19.99,90.0,90,Very Positive,9.6,2014-08-25
Hitman: Blood Money,0.99,9.99,90.1,82,Very Positive,9.6,2006-05-30
Windbound,1.99,19.99,90.0,0,Mixed,9.5,2026-05-01
Mediterranea Inferno,2.24,14.99,85.1,84,Very Positive,9.4,2023-08-24
Prince of Persia: The Sands of Time,1.99,9.99,80.1,89,Very Positive,9.4,2003-12-02
SteamWorld Dig 2,1.99,19.99,90.0,85,Overwhelmingly Positive,9.3,2017-09-22
Kathy Rain,0.99,9.99,90.1,77,Very Positive,9.3,2016-05-05
Tower of Time,1.74,24.99,93.0,77,Very Positive,9.2,2018-04-12
Freedom Fighters,1.49,14.99,90.1,80,Very Positive,9.1,2003-10-01
Hitman: Contracts,0.89,8.99,90.1,74,Very Positive,9.1,2004-04-20
Vaporum,1.99,19.99,90.0,75,Very Positive,9.1,2017-09-28
Heavy Rain,1.99,19.99,90.0,75,Very Positive,9.1,2019-06-24
GoNNER,1.49,9.99,85.1,81,Very Positive,9.1,2016-10-12
Othercide,2.99,29.99,90.0,78,Very Positive,9.1,2020-07-27
Hitman: Codename 47,0.79,7.99,90.1,73,Mixed,9.1,2000-11-19
Divinity: Dragon Commander,3.99,39.99,90.0,76,Mostly Positive,9.1,2013-08-06
